ZIP_5,STATE,location,Latitude,Longitude,distance_to_hospital
99507,AK,"Anchorage, AK 99507, USA",61.14876899999999,-149.8010811,3454.199762575059
99577,AK,"Eagle River, AK 99577, USA",61.26736379999999,-149.2891675,3436.686173895117
94123,CA,"San Francisco, CA 94123, USA",37.8020405,-122.4382307,2384.8031702929175
97448,OR,"Junction City, OR 97448, USA",44.2188946,-123.3145052,2381.9826558651466
98632,WA,"Longview, WA 98632, USA",46.1381594,-122.9381639,2362.9649442710183
93907,CA,"Salinas, CA 93907, USA",36.7918545,-121.6511258,2355.9713255697006
98144,WA,"Seattle, WA 98144, USA",47.58457569999999,-122.303649,2337.475288989448
98391,WA,"Bonney Lake, WA 98391, USA",47.174049,-122.1702757,2329.4549043419315
95758,CA,"Elk Grove, CA 95758, USA",38.427766,-121.4798948,2325.984550161155
95843,CA,"Antelope, CA 95843, USA",38.7149071,-121.3598812,2316.4402320854665
95366,CA,"Ripon, CA 95366, USA",37.7514303,-121.1481284,2316.1492856708655
97703,OR,"Oregon 97703, USA",44.0638267,-121.3409115,2284.3925100119454
93033,CA,"Oxnard, CA 93033, USA",34.1599885,-119.1274334,2259.8184193907323
90272,CA,"Pacific Palisades, CA 90272, USA",34.0845245,-118.5447787,2228.9645542880644
90402,CA,"Santa Monica, CA 90402, USA",34.0352816,-118.5068325,2227.7454176830493
90266,CA,"Manhattan Beach, CA 90266, USA",33.8908371,-118.3987842,2224.3687325951023
90077,CA,"Los Angeles, CA 90077, USA",34.1014861,-118.4571974,2223.8205207688607
90274,CA,"Rolling Hills Estates, CA 90274, USA",33.7793751,-118.3520389,2223.8113267959934
90278,CA,"Redondo Beach, CA 90278, USA",33.865913,-118.3754131,2223.5273249783795
90069,CA,"West Hollywood, CA 90069, USA",34.0931603,-118.3783347,2219.6078157249053
90036,CA,"Los Angeles, CA 90036, USA",34.0664817,-118.3520389,2218.627895894101
90005,CA,"Sanford, CA 90005, USA",34.0578814,-118.3096648,2216.437389331945
90029,CA,"Los Angeles, CA 90029, USA",34.0880507,-118.2965121,2215.1737727460672
90703,CA,"Artesia, CA 90703, USA",33.8724552,-118.0595907,2205.924357061744
92679,CA,"Portola Hills, CA 92679, USA",33.5941759,-117.5730639,2184.046635980024
92101,CA,"San Diego, CA 92101, USA",32.7269669,-117.1647094,2178.016897144876
92024,CA,"Encinitas, CA 92024, USA",33.052083,-117.2793685,2177.998517892931
92130,CA,"San Diego, CA 92130, USA",32.9436607,-117.2088167,2176.1880198545223
92127,CA,"San Diego, CA 92127, USA",33.0227476,-117.1382404,2170.7221207413722
92026,CA,"Escondido, CA 92026, USA",33.2156978,-117.1147095,2165.702558197596
85374,AZ,"Surprise, AZ 85374, USA",33.657298,-112.4649083,1899.0368139033626
85018,AZ,"Phoenix, AZ 85018, USA",33.4962205,-111.9641728,1873.954054493407
85253,AZ,"Scottsdale, AZ 85253, USA",33.5388471,-111.9641728,1873.2069992578731
85286,AZ,"Chandler, AZ 85286, USA",33.2664407,-111.8210866,1870.0712469910998
86336,AZ,"Sedona, AZ 86336, USA",34.8905205,-111.8091625,1843.028918514112
86351,AZ,"Sedona, AZ 86351, USA",34.7566841,-111.7376178,1841.0086486392554
85602,AZ,"Benson, AZ 85602, USA",32.1500959,-110.3785438,1810.973154042916
84020,UT,"Draper, UT 84020, USA",40.4960215,-111.8687825,1802.7668987302393
83001,WY,"Hoback Junction, WY 83001, USA",43.4686966,-110.6724168,1751.0734423128981
81419,CO,"Hotchkiss, CO 81419, USA",38.9819946,-107.71625,1584.2900770740418
87122,NM,"Albuquerque, NM 87122, USA",35.1808064,-106.519036,1545.515330107518
81632,CO,"Edwards, CO 81632, USA",39.6471106,-106.6527099,1527.0478266250796
80439,CO,"Evergreen, CO 80439, USA",39.6184866,-105.4302383,1461.9730910207431
80403,CO,"Arvada, CO 80403, USA",39.8325847,-105.336536,1457.4372617118129
80301,CO,"Boulder, CO 80301, USA",40.04065060000001,-105.2077798,1451.207678625998
82009,WY,"Cheyenne, WY 82009, USA",41.3361875,-104.9388853,1444.1010684361372
80863,CO,"Woodland Park, CO 80863, USA",39.0540773,-105.1025075,1443.9320497504223
80031,CO,"Westminster, CO 80031, USA",39.8774533,-105.0382076,1441.743397291807
80547,CO,"Timnath, CO 80547, USA",40.5185615,-104.9564084,1439.9224940958347
80222,CO,"Denver, CO 80222, USA",39.6696322,-104.9330448,1435.632665455103
80906,CO,"Colorado Springs, CO 80906, USA",38.7665005,-104.8804893,1432.0508772119083
80011,CO,"Aurora, CO 80011, USA",39.7542465,-104.7871004,1428.0889041798764
80920,CO,"Colorado Springs, CO 80920, USA",38.9583005,-104.7812654,1426.6698988176342
79707,TX,"Midland, TX 79707, USA",32.0555791,-102.2319048,1358.0183169034185
76943,TX,"Ozona, TX 76943, USA",30.5146701,-101.0711758,1330.4839130500964
78364,,"Kingsville, TX 78364, USA",27.5165721,-97.8686298,1254.1721511214373
57536,SD,"Harrold, SD 57536, USA",44.3948122,-99.7678687,1237.6884066451466
78023,TX,"Helotes, TX 78023, USA",29.61721229999999,-98.7260927,1228.1729056781471
79606,TX,"Abilene, TX 79606, USA",32.3560371,-99.8348146,1218.2605016116838
78209,TX,"San Antonio, TX 78209, USA",29.4854054,-98.4513272,1217.4586798458415
78259,TX,"San Antonio, TX 78259, USA",29.6249386,-98.4293891,1211.962414080942
78130,TX,"Canyon Lake, TX 78130, USA",29.7049806,-98.068343,1190.0904365080883
67876,KS,"Spearville, KS 67876, USA",37.8682381,-99.7678687,1155.100800312945
76450,TX,"Graham, TX 76450, USA",33.0953425,-98.6160674,1135.7188309584164
76712,TX,"Woodway, TX 76712, USA",31.5348439,-97.286868,1096.3079094527777
76706,TX,"Robinson, TX 76706, USA",31.456042,-97.0713572,1086.495363750972
57104,SD,"Sioux Falls, SD 57104, USA",43.6032799,-96.7172907,1076.6262735013656
76109,TX,"Fort Worth, TX 76109, USA",32.6986242,-97.3786689,1074.6992564597738
76110,TX,"Fort Worth, TX 76110, USA",32.7011609,-97.3354531,1072.2490884132983
76131,TX,"Blue Mound, TX 76131, USA",32.8959754,-97.3624598,1069.7999636059847
77459,TX,"Missouri City, TX 77459, USA",29.4773092,-95.5302337,1062.6502489024517
76120,TX,"Fort Worth, TX 76120, USA",32.7660707,-97.184414,1062.533601616196
76092,TX,"Southlake, TX 76092, USA",32.9533477,-97.1467072,1056.6760044414866
75019,TX,"Coppell, TX 75019, USA",32.9618763,-96.9960925,1048.1397841246203
77008,TX,"Houston, TX 77008, USA",29.7995924,-95.4201377,1046.0813539358144
77375,TX,"The Woodlands, TX 77375, USA",30.1098349,-95.5827334,1044.6457235007726
76240,TX,"Callisburg, TX 76240, USA",33.6353571,-97.1359377,1043.5749307292078
75219,TX,"Dallas, TX 75219, USA",32.8122051,-96.8109852,1040.871652955823
75230,TX,"Dallas, TX 75230, USA",32.9005121,-96.7868794,1037.744599682111
75248,TX,"Dallas, TX 75248, USA",32.9737114,-96.7815237,1035.9877753742599
